"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","23.287"
"2011-03-01","22.809"
"2011-04-01","22.938"
"2011-05-01","22.814"
"2011-06-01","21.976"
"2011-07-01","21.562"
"2011-08-01","23.572"
"2011-09-01","22.26"
"2011-10-01","23.79"
"2011-11-01","22.636"
"2011-12-01","25.858"
"2012-01-01","34.166"
"2012-02-01","66.708"
"2012-03-01","49.319"
"2012-04-01","25.004"
"2012-05-01","22.304"
"2012-06-01","22.279"
"2012-07-01","21.407"
"2012-08-01","21.535"
"2012-09-01","25.014"
"2012-10-01","23.282"
"2012-11-01","24.017"
"2012-12-01","23.072"
"2013-01-01","25.591"
"2013-02-01","26.265"
"2013-03-01","24.317"
"2013-04-01","23.837"
"2013-05-01","27.262"
"2013-06-01","27.423"
"2013-07-01","27.35"
"2013-08-01","27.553"
"2013-09-01","28.108"
"2013-10-01","26.553"
"2013-11-01","26.961"
"2013-12-01","29.26"
"2014-01-01","30.425"
"2014-02-01","30.736"
"2014-03-01","28.661"
"2014-04-01","26.923"
"2014-05-01","23.771"
"2014-06-01","23.684"
"2014-07-01","22.689"
"2014-08-01","21.823"
"2014-09-01","22.976"
"2014-10-01","21.986"
"2014-11-01","22.086"
"2014-12-01","21.621"
"2015-01-01","22.531"
"2015-02-01","23.115"
"2015-03-01","25.681"
"2015-04-01","25.238"
"2015-05-01","24.584"
"2015-06-01","21.939"
"2015-07-01","21.097"
"2015-08-01","20.942"
"2015-09-01","20.568"
"2015-10-01","20.481"
"2015-11-01","20.48"
"2015-12-01","20.607"
"2016-01-01","20.825"
"2016-02-01","19.548"
"2016-03-01","19.896"
"2016-04-01","19.529"
"2016-05-01","19.415"
"2016-06-01","18.895"
"2016-07-01","18.756"
"2016-08-01","18.149"
"2016-09-01","17.911"
"2016-10-01","17.052"
"2016-11-01","18.139"
"2016-12-01","17.937"
"2017-01-01","19.315"
"2017-02-01","20.694"
"2017-03-01","20.658"
"2017-04-01","21.378"
"2017-05-01","20.208"
"2017-06-01","20.583"
"2017-07-01","22.942"
"2017-08-01","21.76"
"2017-09-01","21.986"
"2017-10-01","22.825"
"2017-11-01","24.817"
"2017-12-01","25.056"
"2018-01-01","22.953"
"2018-02-01","21.579"
"2018-03-01","21.591"
"2018-04-01","20.426"
"2018-05-01","21.482"
"2018-06-01","20.368"
"2018-07-01","20.137"
"2018-08-01","20.315"
"2018-09-01","19.925"
"2018-10-01","21.907"
"2018-11-01","23.712"
"2018-12-01","24.631"
"2019-01-01","28.148"
"2019-02-01","33.6"
"2019-03-01","29.026"
"2019-04-01","26.156"
"2019-05-01","23.562"
"2019-06-01","21.455"
"2019-07-01","17.987"
"2019-08-01","17.464"
"2019-09-01","16.705"
"2019-10-01","17.295"
"2019-11-01","18.46"
"2019-12-01","22.797"
"2020-01-01","29.018"
"2020-02-01","29.097"
"2020-03-01","29.418"
"2020-04-01","29.296"
"2020-05-01","29.769"
"2020-06-01","29.778"
"2020-07-01","29.425"
"2020-08-01","22.715"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","20.965"
"2020-12-01","20.385"
"2021-01-01","21.632"
"2021-02-01","22.074"
"2021-03-01","21.434"
"2021-04-01","21.747"
"2021-05-01","20.757"
"2021-06-01","20.077"
"2021-07-01","17.241"
"2021-08-01","17.426"
"2021-09-01","16.47"
"2021-10-01","16.476"
"2021-11-01","16.725"
"2021-12-01","15.577"
"2022-01-01","16.37"
"2022-02-01","16.366"
"2022-03-01","16.439"
"2022-04-01","16.15"
"2022-05-01","15.96"
"2022-06-01","16.357"
"2022-07-01","16.028"
"2022-08-01","16.688"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","16.652"
"2022-12-01","15.982"
"2023-01-01","16.327"
"2023-02-01","16.304"
"2023-03-01",null
"2023-04-01","15.416"
"2023-05-01","15.578"
"2023-06-01","18.457"
"2023-07-01","17.274"
