"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","2.267"
"2011-03-01","2.152"
"2011-04-01","2.185"
"2011-05-01","2.265"
"2011-06-01","2.298"
"2011-07-01","2.313"
"2011-08-01","2.302"
"2011-09-01","2.319"
"2011-10-01","2.351"
"2011-11-01","2.428"
"2011-12-01","2.614"
"2012-01-01","2.643"
"2012-02-01","2.71"
"2012-03-01","2.752"
"2012-04-01","2.79"
"2012-05-01","2.845"
"2012-06-01","2.86"
"2012-07-01","2.863"
"2012-08-01","2.946"
"2012-09-01","2.999"
"2012-10-01","3.016"
"2012-11-01","3.012"
"2012-12-01","3.039"
"2013-01-01","2.995"
"2013-02-01","3.14"
"2013-03-01","3.25"
"2013-04-01","3.552"
"2013-05-01","3.787"
"2013-06-01","3.92"
"2013-07-01","4.296"
"2013-08-01","4.61"
"2013-09-01","4.9"
"2013-10-01","5.058"
"2013-11-01","5.16"
"2013-12-01","5.287"
"2014-01-01","5.323"
"2014-02-01","5.354"
"2014-03-01","5.357"
"2014-04-01","5.354"
"2014-05-01","5.408"
"2014-06-01","5.556"
"2014-07-01","5.668"
"2014-08-01","6.348"
"2014-09-01","6.986"
"2014-10-01","7.199"
"2014-11-01","7.281"
"2014-12-01","7.375"
"2015-01-01","7.4"
"2015-02-01","7.349"
"2015-03-01","7.469"
"2015-04-01","7.715"
"2015-05-01","7.884"
"2015-06-01","8.037"
"2015-07-01","8.157"
"2015-08-01","8.437"
"2015-09-01","8.749"
"2015-10-01","8.95"
"2015-11-01","9.099"
"2015-12-01","8.874"
"2016-01-01","8.953"
"2016-02-01","8.919"
"2016-03-01","8.989"
"2016-04-01","9.07"
"2016-05-01","9.121"
"2016-06-01","9.18"
"2016-07-01","9.448"
"2016-08-01","9.538"
"2016-09-01","9.707"
"2016-10-01","9.625"
"2016-11-01","9.608"
"2016-12-01","9.82"
"2017-01-01","10.255"
"2017-02-01","10.003"
"2017-03-01","9.928"
"2017-04-01","10.095"
"2017-05-01","10.053"
"2017-06-01","10.478"
"2017-07-01","10.658"
"2017-08-01","10.84"
"2017-09-01","11.393"
"2017-10-01","11.797"
"2017-11-01","11.473"
"2017-12-01","12.075"
"2018-01-01","12.182"
"2018-02-01","12.448"
"2018-03-01","12.123"
"2018-04-01","12.093"
"2018-05-01","12.858"
"2018-06-01","13.46"
"2018-07-01","13.276"
"2018-08-01","13.308"
"2018-09-01","14.197"
"2018-10-01","14.496"
"2018-11-01","14.342"
"2018-12-01","14.386"
"2019-01-01","14.551"
"2019-02-01","14.233"
"2019-03-01","14.285"
"2019-04-01","14.928"
"2019-05-01","15.483"
"2019-06-01","15.403"
"2019-07-01","16.197"
"2019-08-01","16.352"
"2019-09-01","16.002"
"2019-10-01","15.912"
"2019-11-01","16.09"
"2019-12-01","16.397"
"2020-01-01","16.795"
"2020-02-01","15.813"
"2020-03-01","16.925"
"2020-04-01","16.962"
"2020-05-01",null
"2020-06-01",null
"2020-07-01","17.116"
"2020-08-01","17.389"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","17.539"
"2020-12-01","18.566"
"2021-01-01","18.833"
"2021-02-01","19.115"
"2021-03-01","19.711"
"2021-04-01","18.62"
"2021-05-01","21.962"
"2021-06-01","22.838"
"2021-07-01","22.779"
"2021-08-01","22.341"
"2021-09-01","23.392"
"2021-10-01","25.04"
"2021-11-01","23.746"
"2021-12-01","24.365"
"2022-01-01","25.638"
"2022-02-01","26.377"
"2022-03-01","27.634"
"2022-04-01","29.01"
"2022-05-01","28.513"
"2022-06-01","30.134"
"2022-07-01","32.205"
"2022-08-01","33.963"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","37.757"
"2022-12-01","40.815"
"2023-01-01","40.401"
"2023-02-01","42.416"
"2023-03-01",null
"2023-04-01","46.073"
"2023-05-01","55.494"
"2023-06-01","48.592"
"2023-07-01","53.536"
