"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","3.94%","0.87%","95.20%"
"2011-03-01","10.17%","0.89%","88.94%"
"2011-04-01","7.47%","0.75%","91.78%"
"2011-05-01","5.10%","0.85%","94.05%"
"2011-06-01","2.16%","0.84%","96.99%"
"2011-07-01","2.15%","0.80%","97.05%"
"2011-08-01","5.38%","0.83%","93.79%"
"2011-09-01","3.07%","1.09%","95.84%"
"2011-10-01","1.01%","0.85%","98.14%"
"2011-11-01","0.89%","0.97%","98.14%"
"2011-12-01","1.20%","1.18%","97.62%"
"2012-01-01","0.62%","0.97%","98.41%"
"2012-02-01","0.69%","0.84%","98.47%"
"2012-03-01","0.66%","1.19%","98.15%"
"2012-04-01","0.71%","1.19%","98.10%"
"2012-05-01","0.61%","1.28%","98.11%"
"2012-06-01","0.45%","1.18%","98.37%"
"2012-07-01","0.46%","0.97%","98.57%"
"2012-08-01","0.60%","0.95%","98.46%"
"2012-09-01","0.56%","0.79%","98.65%"
"2012-10-01","0.87%","0.80%","98.33%"
"2012-11-01","0.88%","1.25%","97.87%"
"2012-12-01","0.61%","1.04%","98.36%"
"2013-01-01","0.79%","1.43%","97.77%"
"2013-02-01","0.62%","1.58%","97.81%"
"2013-03-01","0.78%","1.90%","97.32%"
"2013-04-01","1.08%","1.64%","97.28%"
"2013-05-01","0.76%","1.91%","97.33%"
"2013-06-01","1.15%","2.06%","96.79%"
"2013-07-01","0.90%","2.40%","96.70%"
"2013-08-01","1.25%","2.71%","96.04%"
"2013-09-01","0.86%","3.04%","96.10%"
"2013-10-01","0.99%","3.87%","95.14%"
"2013-11-01","0.83%","4.48%","94.69%"
"2013-12-01","0.91%","5.21%","93.87%"
"2014-01-01","1.03%","5.46%","93.51%"
"2014-02-01","0.59%","6.01%","93.40%"
"2014-03-01","0.82%","6.58%","92.61%"
"2014-04-01","0.74%","6.84%","92.42%"
"2014-05-01","1.41%","7.18%","91.40%"
"2014-06-01","1.85%","7.05%","91.09%"
"2014-07-01","1.20%","7.38%","91.42%"
"2014-08-01","1.15%","7.63%","91.22%"
"2014-09-01","1.57%","7.71%","90.72%"
"2014-10-01","1.68%","8.46%","89.86%"
"2014-11-01","1.88%","9.11%","89.01%"
"2014-12-01","2.09%","9.58%","88.33%"
"2015-01-01","2.83%","9.53%","87.64%"
"2015-02-01","2.18%","9.97%","87.85%"
"2015-03-01","1.89%","9.87%","88.24%"
"2015-04-01","1.86%","9.86%","88.28%"
"2015-05-01","1.59%","9.89%","88.52%"
"2015-06-01","1.52%","10.20%","88.28%"
"2015-07-01","1.85%","10.21%","87.94%"
"2015-08-01","2.27%","10.98%","86.75%"
"2015-09-01","3.91%","11.55%","84.55%"
"2015-10-01","3.60%","11.19%","85.21%"
"2015-11-01","2.77%","10.15%","87.08%"
"2015-12-01","3.15%","9.95%","86.90%"
"2016-01-01","2.84%","12.51%","84.65%"
"2016-02-01","3.46%","12.45%","84.09%"
"2016-03-01","3.15%","13.00%","83.85%"
"2016-04-01","3.87%","12.23%","83.89%"
"2016-05-01","3.35%","12.13%","84.52%"
"2016-06-01","3.06%","12.60%","84.34%"
"2016-07-01",null,null,null
"2016-08-01","4.28%","14.32%","81.39%"
"2016-09-01","5.22%","16.88%","77.90%"
"2016-10-01","5.57%","17.33%","77.10%"
"2016-11-01","6.95%","17.22%","75.84%"
"2016-12-01","5.97%","17.73%","76.30%"
"2017-01-01","5.75%","14.12%","80.14%"
"2017-02-01","4.50%","13.89%","81.61%"
"2017-03-01","4.72%","14.02%","81.26%"
"2017-04-01","4.11%","13.56%","82.33%"
"2017-05-01","5.21%","14.84%","79.94%"
"2017-06-01","6.07%","15.22%","78.71%"
"2017-07-01","5.76%","15.40%","78.84%"
"2017-08-01","5.45%","14.60%","79.95%"
"2017-09-01","7.34%","16.55%","76.11%"
"2017-10-01","8.73%","17.36%","73.91%"
"2017-11-01","7.61%","17.11%","75.28%"
"2017-12-01","8.33%","17.79%","73.87%"
"2018-01-01","9.26%","19.22%","71.52%"
"2018-02-01","9.22%","19.71%","71.06%"
"2018-03-01","8.99%","18.75%","72.26%"
"2018-04-01","8.34%","18.29%","73.37%"
"2018-05-01","8.38%","18.19%","73.44%"
"2018-06-01","8.95%","19.54%","71.51%"
"2018-07-01","16.64%","15.22%","68.15%"
"2018-08-01","19.09%","13.54%","67.37%"
"2018-09-01","21.70%","12.84%","65.45%"
"2018-10-01","22.88%","12.52%","64.60%"
"2018-11-01","23.15%","12.49%","64.36%"
"2018-12-01","22.73%","12.07%","65.20%"
"2019-01-01","23.16%","12.06%","64.79%"
"2019-02-01","22.89%","12.24%","64.87%"
"2019-03-01","23.45%","12.28%","64.27%"
"2019-04-01","24.05%","12.03%","63.92%"
"2019-05-01","20.39%","13.49%","66.13%"
"2019-06-01","21.27%","16.52%","62.21%"
"2019-07-01","21.05%","17.34%","61.61%"
"2019-08-01","21.21%","17.10%","61.69%"
"2019-09-01","22.40%","16.58%","61.02%"
"2019-10-01","22.24%","16.45%","61.31%"
"2019-11-01","23.40%","16.79%","59.81%"
"2019-12-01","21.00%","15.75%","63.25%"
"2020-01-01",null,null,null
"2020-02-01","18.86%","15.64%","65.50%"
"2020-03-01","18.86%","16.71%","64.42%"
"2020-04-01","18.98%","16.35%","64.67%"
"2020-05-01","19.93%","17.56%","62.51%"
"2020-06-01","13.60%","18.38%","68.02%"
"2020-07-01","9.31%","18.21%","72.48%"
"2020-08-01","11.99%","21.46%","66.54%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","14.34%","27.33%","58.33%"
"2020-12-01","14.10%","27.97%","57.93%"
"2021-01-01","13.60%","25.62%","60.78%"
"2021-02-01","13.35%","24.61%","62.05%"
"2021-03-01","13.65%","24.98%","61.37%"
"2021-04-01","13.18%","23.25%","63.57%"
"2021-05-01","12.62%","20.06%","67.32%"
"2021-06-01","13.18%","19.97%","66.85%"
"2021-07-01","12.71%","19.22%","68.07%"
"2021-08-01","12.78%","19.16%","68.06%"
"2021-09-01","12.16%","20.02%","67.81%"
"2021-10-01","12.12%","19.75%","68.14%"
"2021-11-01","12.92%","20.54%","66.54%"
"2021-12-01","13.92%","21.25%","64.84%"
"2022-01-01","13.59%","21.54%","64.86%"
"2022-02-01","13.57%","21.87%","64.56%"
"2022-03-01","14.28%","21.84%","63.88%"
"2022-04-01","14.14%","22.20%","63.66%"
"2022-05-01","15.36%","22.38%","62.26%"
"2022-06-01","15.51%","22.73%","61.75%"
"2022-07-01","16.63%","22.00%","61.37%"
"2022-08-01","17.44%","21.72%","60.85%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","18.80%","21.77%","59.43%"
"2022-12-01","20.09%","21.48%","58.43%"
"2023-01-01","18.71%","21.58%","59.71%"
"2023-02-01","19.76%","21.34%","58.90%"
"2023-03-01",null,null,null
"2023-04-01","24.12%","23.61%","52.27%"
"2023-05-01","23.72%","22.05%","54.23%"
"2023-06-01","24.77%","24.58%","50.64%"
"2023-07-01","26.30%","24.24%","49.46%"
